
Detailed
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,ID,
0,µm,Spot,Selected Surfaces - W2,1,0,
0,µm,Spot,Selected Surfaces - W2,1,1,
0,µm,Spot,Selected Surfaces - W2,1,2,
0,µm,Spot,Selected Surfaces - W2,1,3,
0,µm,Spot,Selected Surfaces - W2,1,4,
0,µm,Spot,Selected Surfaces - W2,1,5,
0,µm,Spot,Selected Surfaces - W2,1,6,
0,µm,Spot,Selected Surfaces - W2,1,7,
0,µm,Spot,Selected Surfaces - W2,1,8,
0,µm,Spot,Selected Surfaces - W2,1,9,
0,µm,Spot,Selected Surfaces - W2,1,10,
0,µm,Spot,Selected Surfaces - W2,1,11,
0,µm,Spot,Selected Surfaces - W2,1,12,
0,µm,Spot,Selected Surfaces - W2,1,13,
0,µm,Spot,Selected Surfaces - W2,1,14,
0,µm,Spot,Selected Surfaces - W2,1,15,
0,µm,Spot,Selected Surfaces - W2,1,16,
0,µm,Spot,Selected Surfaces - W2,1,17,
0,µm,Spot,Selected Surfaces - W2,1,18,
0,µm,Spot,Selected Surfaces - W2,1,19,
0,µm,Spot,Selected Surfaces - W2,1,20,
0,µm,Spot,Selected Surfaces - W2,1,21,
0,µm,Spot,Selected Surfaces - W2,1,22,
0,µm,Spot,Selected Surfaces - W2,1,23,
0,µm,Spot,Selected Surfaces - W2,1,24,
0,µm,Spot,Selected Surfaces - W2,1,25,
0,µm,Spot,Selected Surfaces - W2,1,26,
0,µm,Spot,Selected Surfaces - W2,1,27,
0,µm,Spot,Selected Surfaces - W2,1,28,
0,µm,Spot,Selected Surfaces - W2,1,29,
0,µm,Spot,Selected Surfaces - W2,1,30,
0,µm,Spot,Selected Surfaces - W2,1,31,
0,µm,Spot,Selected Surfaces - W2,1,32,
0,µm,Spot,Selected Surfaces - W2,1,33,
0,µm,Spot,Selected Surfaces - W2,1,34,
0,µm,Spot,Selected Surfaces - W2,1,35,
0,µm,Spot,Selected Surfaces - W2,1,36,
0,µm,Spot,Selected Surfaces - W2,1,37,
0,µm,Spot,Selected Surfaces - W2,1,38,
0,µm,Spot,Selected Surfaces - W2,1,39,
0,µm,Spot,Selected Surfaces - W2,1,40,
0,µm,Spot,Selected Surfaces - W2,1,41,
0,µm,Spot,Selected Surfaces - W2,1,42,
0,µm,Spot,Selected Surfaces - W2,1,43,
0,µm,Spot,Selected Surfaces - W2,1,44,
0,µm,Spot,Selected Surfaces - W2,1,45,
0,µm,Spot,Selected Surfaces - W2,1,46,
0,µm,Spot,Selected Surfaces - W2,1,47,
0,µm,Spot,Selected Surfaces - W2,1,48,
0,µm,Spot,Selected Surfaces - W2,1,49,
0,µm,Spot,Selected Surfaces - W2,1,50,
0,µm,Spot,Selected Surfaces - W2,1,51,
0,µm,Spot,Selected Surfaces - W2,1,52,
0,µm,Spot,Selected Surfaces - W2,1,53,
0,µm,Spot,Selected Surfaces - W2,1,54,
0,µm,Spot,Selected Surfaces - W2,1,55,
0,µm,Spot,Selected Surfaces - W2,1,56,
0,µm,Spot,Selected Surfaces - W2,1,57,
0,µm,Spot,Selected Surfaces - W2,1,58,
0,µm,Spot,Selected Surfaces - W2,1,59,
0,µm,Spot,Selected Surfaces - W2,1,60,
0,µm,Spot,Selected Surfaces - W2,1,61,
0,µm,Spot,Selected Surfaces - W2,1,62,
0,µm,Spot,Selected Surfaces - W2,1,63,
0,µm,Spot,Selected Surfaces - W2,1,64,
0,µm,Spot,Selected Surfaces - W2,1,65,
0,µm,Spot,Selected Surfaces - W2,1,66,
0,µm,Spot,Selected Surfaces - W2,1,67,
0,µm,Spot,Selected Surfaces - W2,1,68,
0,µm,Spot,Selected Surfaces - W2,1,69,
0,µm,Spot,Selected Surfaces - W2,1,70,
0,µm,Spot,Selected Surfaces - W2,1,71,
0,µm,Spot,Selected Surfaces - W2,1,72,
0,µm,Spot,Selected Surfaces - W2,1,73,
0,µm,Spot,Selected Surfaces - W2,1,74,
0,µm,Spot,Selected Surfaces - W2,1,75,
0,µm,Spot,Selected Surfaces - W2,1,76,
0,µm,Spot,Selected Surfaces - W2,1,77,
0,µm,Spot,Selected Surfaces - W2,1,78,
0,µm,Spot,Selected Surfaces - W2,1,79,
0,µm,Spot,Selected Surfaces - W2,1,80,
0,µm,Spot,Selected Surfaces - W2,1,81,
0,µm,Spot,Selected Surfaces - W2,1,82,
0,µm,Spot,Selected Surfaces - W2,1,83,
0,µm,Spot,Selected Surfaces - W2,1,84,
0,µm,Spot,Selected Surfaces - W2,1,85,
0,µm,Spot,Selected Surfaces - W2,1,86,
0,µm,Spot,Selected Surfaces - W2,1,87,
0,µm,Spot,Selected Surfaces - W2,1,88,
0,µm,Spot,Selected Surfaces - W2,1,89,
0,µm,Spot,Selected Surfaces - W2,1,90,
0,µm,Spot,Selected Surfaces - W2,1,91,
0,µm,Spot,Selected Surfaces - W2,1,92,
0,µm,Spot,Selected Surfaces - W2,1,93,
0,µm,Spot,Selected Surfaces - W2,1,94,
0,µm,Spot,Selected Surfaces - W2,1,95,
0,µm,Spot,Selected Surfaces - W2,1,96,
0,µm,Spot,Selected Surfaces - W2,1,97,
0,µm,Spot,Selected Surfaces - W2,1,98,
0,µm,Spot,Selected Surfaces - W2,1,99,
0,µm,Spot,Selected Surfaces - W2,1,100,
0,µm,Spot,Selected Surfaces - W2,1,101,
0,µm,Spot,Selected Surfaces - W2,1,102,
0,µm,Spot,Selected Surfaces - W2,1,103,
0,µm,Spot,Selected Surfaces - W2,1,104,
0,µm,Spot,Selected Surfaces - W2,1,105,
0,µm,Spot,Selected Surfaces - W2,1,106,
0,µm,Spot,Selected Surfaces - W2,1,107,
0,µm,Spot,Selected Surfaces - W2,1,108,
0,µm,Spot,Selected Surfaces - W2,1,109,
0,µm,Spot,Selected Surfaces - W2,1,110,
0,µm,Spot,Selected Surfaces - W2,1,111,
0,µm,Spot,Selected Surfaces - W2,1,112,
0,µm,Spot,Selected Surfaces - W2,1,113,
0,µm,Spot,Selected Surfaces - W2,1,114,
0,µm,Spot,Selected Surfaces - W2,1,115,
0,µm,Spot,Selected Surfaces - W2,1,116,
0,µm,Spot,Selected Surfaces - W2,1,117,
0,µm,Spot,Selected Surfaces - W2,1,118,
0,µm,Spot,Selected Surfaces - W2,1,119,
0,µm,Spot,Selected Surfaces - W2,1,120,
0,µm,Spot,Selected Surfaces - W2,1,121,
0,µm,Spot,Selected Surfaces - W2,1,122,
0,µm,Spot,Selected Surfaces - W2,1,123,
0,µm,Spot,Selected Surfaces - W2,1,124,
0,µm,Spot,Selected Surfaces - W2,1,125,
0,µm,Spot,Selected Surfaces - W2,1,126,
0,µm,Spot,Selected Surfaces - W2,1,127,
0,µm,Spot,Selected Surfaces - W2,1,128,
0,µm,Spot,Selected Surfaces - W2,1,129,
0,µm,Spot,Selected Surfaces - W2,1,130,
0,µm,Spot,Selected Surfaces - W2,1,131,
0,µm,Spot,Selected Surfaces - W2,1,132,
0,µm,Spot,Selected Surfaces - W2,1,133,
0,µm,Spot,Selected Surfaces - W2,1,134,
0,µm,Spot,Selected Surfaces - W2,1,135,
0,µm,Spot,Selected Surfaces - W2,1,136,
0,µm,Spot,Selected Surfaces - W2,1,137,
0,µm,Spot,Selected Surfaces - W2,1,138,
0,µm,Spot,Selected Surfaces - W2,1,139,
0,µm,Spot,Selected Surfaces - W2,1,140,
0,µm,Spot,Selected Surfaces - W2,1,141,
0,µm,Spot,Selected Surfaces - W2,1,142,
0,µm,Spot,Selected Surfaces - W2,1,143,
0,µm,Spot,Selected Surfaces - W2,1,144,
0,µm,Spot,Selected Surfaces - W2,1,145,
0,µm,Spot,Selected Surfaces - W2,1,146,
0,µm,Spot,Selected Surfaces - W2,1,147,
0,µm,Spot,Selected Surfaces - W2,1,148,
0,µm,Spot,Selected Surfaces - W2,1,149,
0,µm,Spot,Selected Surfaces - W2,1,150,
0,µm,Spot,Selected Surfaces - W2,1,151,
0,µm,Spot,Selected Surfaces - W2,1,152,
0,µm,Spot,Selected Surfaces - W2,1,153,
0,µm,Spot,Selected Surfaces - W2,1,154,
0,µm,Spot,Selected Surfaces - W2,1,155,
0,µm,Spot,Selected Surfaces - W2,1,156,
0,µm,Spot,Selected Surfaces - W2,1,157,
0,µm,Spot,Selected Surfaces - W2,1,158,
0,µm,Spot,Selected Surfaces - W2,1,159,
0,µm,Spot,Selected Surfaces - W2,1,160,
0,µm,Spot,Selected Surfaces - W2,1,161,
0,µm,Spot,Selected Surfaces - W2,1,162,
0,µm,Spot,Selected Surfaces - W2,1,163,
0,µm,Spot,Selected Surfaces - W2,1,164,
0,µm,Spot,Selected Surfaces - W2,1,165,
0,µm,Spot,Selected Surfaces - W2,1,166,
0,µm,Spot,Selected Surfaces - W2,1,167,
0,µm,Spot,Selected Surfaces - W2,1,168,
0,µm,Spot,Selected Surfaces - W2,1,169,
0,µm,Spot,Selected Surfaces - W2,1,170,
0,µm,Spot,Selected Surfaces - W2,1,171,
0,µm,Spot,Selected Surfaces - W2,1,172,
0,µm,Spot,Selected Surfaces - W2,1,173,
0,µm,Spot,Selected Surfaces - W2,1,174,
0,µm,Spot,Selected Surfaces - W2,1,175,
0,µm,Spot,Selected Surfaces - W2,1,176,
0,µm,Spot,Selected Surfaces - W2,1,177,
0,µm,Spot,Selected Surfaces - W2,1,178,
0,µm,Spot,Selected Surfaces - W2,1,179,
0,µm,Spot,Selected Surfaces - W2,1,180,
0,µm,Spot,Selected Surfaces - W2,1,181,
0,µm,Spot,Selected Surfaces - W2,1,182,
0,µm,Spot,Selected Surfaces - W2,1,183,
0,µm,Spot,Selected Surfaces - W2,1,184,
0,µm,Spot,Selected Surfaces - W2,1,185,
0,µm,Spot,Selected Surfaces - W2,1,186,
0,µm,Spot,Selected Surfaces - W2,1,187,
0,µm,Spot,Selected Surfaces - W2,1,188,
0,µm,Spot,Selected Surfaces - W2,1,189,
0,µm,Spot,Selected Surfaces - W2,1,190,
0,µm,Spot,Selected Surfaces - W2,1,191,
0,µm,Spot,Selected Surfaces - W2,1,192,
0,µm,Spot,Selected Surfaces - W2,1,193,
0,µm,Spot,Selected Surfaces - W2,1,194,
0,µm,Spot,Selected Surfaces - W2,1,195,
0,µm,Spot,Selected Surfaces - W2,1,196,
0,µm,Spot,Selected Surfaces - W2,1,197,
0,µm,Spot,Selected Surfaces - W2,1,198,
0,µm,Spot,Selected Surfaces - W2,1,199,
